id,text,source,language_tag,concept,sentiment,shop_location,shop_category
1,"Every morning, the shopkeeper opens his electrical shop and starts the day calmly. He writes daily sales in a small book instead of the computer. The laptop is used only for billing customers. Writing by hand feels faster during rush hours. This simple habit helps him stay in control.",Transcript_Shop_1_Electrical,hi_en,Manual_Sales_Tracking,Calm,India_General,Electrical
2,"The shopkeeper knows his stock by looking at the shelves. He remembers which item is empty, which one is moving fast, and which needs to be ordered. He does not check stock digitally every day. His memory acts like a live inventory system. Experience replaces dashboards.",Transcript_Shop_1_Electrical,hi_en,Visual_Inventory_Tracking,Confident,India_General,Electrical
3,"In this shop, old stock is not considered bad stock. Older items were purchased at lower prices. When market prices increase, these items give better margins. The shopkeeper sees value in time, not expiry. This thinking keeps him relaxed about inventory.",Transcript_Shop_1_Electrical,hi_en,Old_Stock_Value,Confident,India_General,Electrical
4,"When the shop was new, the shopkeeper was unsure about local demand. Different areas need different electrical materials. Some items moved slowly at first. It took time to understand what this area needed. Learning the locality was part of the business.",Transcript_Shop_1_Electrical,hi_en,Area_Demand_Learning,Thoughtful,India_General,Electrical
5,"To understand which item sells more, the shopkeeper waits patiently. Comparing two similar items can take many months. Usually, clear patterns appear after six months. Daily observation builds this understanding. There is no shortcut to experience.",Transcript_Shop_1_Electrical,hi_en,Demand_Discovery,Patient,India_General,Electrical
6,"On busy days, many customers visit the shop. By evening, the shopkeeper knows what sold the most. Empty shelves tell the full story. He does not need reports to confirm demand. His eyes track sales better than software.",Transcript_Shop_1_Electrical,hi_en,Intuitive_Demand_Sensing,Assured,India_General,Electrical
7,"When an item finishes, the shopkeeper notes it in an order book. This order book helps him remember what to reorder. He places orders immediately after noticing gaps. Empty space on the shelf is a clear signal. Action follows observation.",Transcript_Shop_1_Electrical,hi_en,Reorder_Triggering,Attentive,India_General,Electrical
8,Stock orders are placed through a distributor application. The shopkeeper selects required materials and sends the order online. New stock usually arrives the next day. Fast delivery reduces the need for overstocking. Speed keeps operations smooth.,Transcript_Shop_1_Electrical,hi_en,Fast_Replenishment,Satisfied,India_General,Electrical
9,The shopkeeper stores billing data for many years. These records are kept for safety and compliance. He does not analyze old bills regularly. Decisions are based on current customer needs. Present demand matters more than past data.,Transcript_Shop_1_Electrical,hi_en,Long_Term_Data_Storage,Neutral,India_General,Electrical
10,"Almost all items in the shop are running material. Very few items remain unsold. If something does not move, the shopkeeper offers a lower price. Discounts help clear slow stock. Free items are rarely given.",Transcript_Shop_1_Electrical,hi_en,Slow_Stock_Clearance,Pragmatic,India_General,Electrical
11,New electrical products are learned through electricians. Fitters bring customer requirements from job sites. Videos and field work create demand signals. The shopkeeper arranges items only after requests come. Customers lead innovation.,Transcript_Shop_1_Electrical,hi_en,Customer_Led_Innovation,Attentive,India_General,Electrical
12,"The shopkeeper sees new products in company catalogs early. However, real demand appears only after customers ask. Catalogs show availability, not success. Market impact is always delayed. Demand cannot be predicted fully.",Transcript_Shop_1_Electrical,hi_en,Product_Demand_Gap,Experienced,India_General,Electrical
13,Profit in the shop depends heavily on nearby competition. Customers compare prices between shops. A small difference can shift demand. Competition matters more than unsold stock. Pricing pressure is constant.,Transcript_Shop_1_Electrical,hi_en,Competitive_Pricing_Pressure,Alert,India_General,Electrical
14,Online delivery platforms do not worry the shopkeeper. Serious electrical buyers prefer physical shops. Complex items need explanation and trust. Quick delivery works only for simple products. Expertise keeps customers loyal.,Transcript_Shop_1_Electrical,hi_en,Offline_Expertise_Advantage,Confident,India_General,Electrical
