id,text,source,language_tag,concept,sentiment,shop_location,decision_or_recommendation
1,"Ramesh runs a roadside snack stall. After reading the regulations, he realizes he must file Form A with the Registering Authority to obtain a petty food business registration before selling any pakoras.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,petty_food_registration,cautious,semi_urban_india,Submit Form A and pay the registration fee within 7 days of starting the stall.
2,A small dairy cooperative in a town learns that its members who supply all their milk to the co‑op are exempt from the annual inspection requirement.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,exemption_milk_coop,hopeful,urban_india,Keep documentation proving 100 % milk supply to the co‑op to claim the exemption.
3,"Priya’s kirana store sells a few packets of oil daily. Because her turnover is under Rs 12 lakhs, she must register as a petty food manufacturer rather than apply for a full licence.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,turnover_threshold,neutral,rural_india,Register under Schedule 4 using the petty‑food route instead of a full licence.
4,The Central Licensing Authority has issued a licence for a large milk‑processing unit. The licence must be displayed on a photo‑ID card at the plant entrance at all times.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,display_license,neutral,urban_india,Hang the licence card prominently on the entrance wall.
5,A semi‑urban bakery receives a notice that the Registering Authority will inspect its premises within the next 30 days. The owner worries about meeting the hygiene standards in Schedule 4.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,inspection_deadline,anxious,semi_urban_india,Prepare a self‑audit checklist and correct any gaps before the inspection.
6,"After obtaining registration, Sunil must renew it before the expiry date. He forgets the deadline and submits the renewal 10 days late. The regulation imposes a Rs 100 per day late fee.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,late_fee_renewal,stressed,rural_india,Track renewal dates and submit renewal at least 30 days early to avoid penalties.
7,"A food stall owner learns that if his licence is cancelled, he cannot resume business until three months after filing a fresh application.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,license_cancellation,anxious,semi_urban_india,Maintain compliance to avoid cancellation; keep records of all improvement notices.
8,"After a minor violation, the Licensing Authority issues an improvement notice. The owner is given a reasonable hearing before any suspension.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,suspension_procedure,cautious,urban_india,"Attend the hearing, present corrective actions, and request a written statement of reasons."
9,A kirana shop in a village wants to expand its product line to include frozen foods. The regulation requires prior approval from the Licensing Authority before changing activities.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,modification_procedure,cautious,rural_india,Submit a modification request with details of new equipment and obtain written approval.
10,"When the owner of a licensed food business dies, the licence does not automatically pass to the heir. The family must apply for a transfer within 90 days.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,transfer_of_license_death,stressed,urban_india,File a transfer application with proof of legal heirship before the 90‑day deadline.
11,"An electronics retailer mistakenly displays a food licence on its wall, confusing customers. The regulation mandates that only food businesses need to display the licence.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,display_misuse,neutral,urban_india,Remove the food licence display from non‑food premises.
12,The Registering Authority can reject an application only after giving the applicant an opportunity to be heard. The shop owner prepares a written objection to the rejection.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,application_hearing,hopeful,semi_urban_india,Draft a formal objection citing compliance and request reconsideration.
13,A street food vendor must keep a register of the quantity of oil used daily as required by Schedule 4. He worries about the extra paperwork.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,record_keeping_oil,anxious,urban_india,Maintain a simple daily log book for oil usage and keep it for inspection.
14,The regulations state that any premises must be located away from polluted areas. A kirana store near a diesel pump wonders if it needs to relocate.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,premises_location,cautious,semi_urban_india,"Conduct a risk assessment; if pollution risk is high, seek a relocation permit."
15,"The bakery’s floor is uneven and has flaking paint. The regulation requires smooth, easily cleanable floors.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,floor_condition,stressed,urban_india,"Re‑level the floor and apply a seamless, washable coating before the next inspection."
16,The owner of a small tea stall discovers that metal vessels can cause contamination and must be lined or replaced.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,metal_contamination,cautious,semi_urban_india,Replace unlined copper pots with stainless‑steel or line them appropriately.
17,A fruit vendor must install insect screens on all windows and doors to meet the pest‑control requirement.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,pest_control,neutral,urban_india,Fit fine mesh screens on all openings and schedule monthly checks.
18,The shop’s hand‑washing sink lacks hot water. The regulation demands hot water for hand hygiene.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,potable_water_supply,anxious,semi_urban_india,Install a small water heater or connect to a hot‑water line for the sink.
19,The owner of a small confectionery learns that all equipment must be designed for easy cleaning and disinfection. He worries about his old wooden slicer.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,equipment_design,cautious,rural_india,Replace the wooden slicer with stainless‑steel equipment that can be sanitized.
20,"A milk vendor must keep the milk at 4 °C or lower from collection to processing, as mandated by the regulations.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,milk_temperature_control,stressed,rural_india,Use a calibrated chilled tank and monitor temperature every hour.
21,"A small shop selling packaged snacks must ensure that the packaging material is food‑grade and correctly labelled, or risk licence suspension.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,packaging_hygiene,cautious,urban_india,Source food‑grade packaging and verify label compliance before stocking.
22,The regulation requires a technical person with a degree in food technology to supervise production. The owner of a small bakery cannot find such a person locally.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,technical_person_requirement,anxious,semi_urban_india,Contract a qualified consultant on a part‑time basis to fulfill the requirement.
23,"A kirana store must keep a separate storage area for raw grains away from finished products, as per the segregation rule.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,segregated_storage,neutral,rural_india,Allocate a dedicated shelf for raw grains and label it clearly.
24,The owner of a small ice‑cream cart learns that ice must be made from potable water and stored in covered containers.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,ice_hygiene,cautious,semi_urban_india,Use a certified ice maker and keep ice bins tightly covered.
25,A street vendor discovers that the law forbids the use of non‑food‑grade plastics for containers that hold ready‑to‑eat items.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,non_food_grade_containers,stressed,urban_india,Switch to approved food‑grade containers for all ready‑to‑eat foods.
26,The regulation states that a licence fee is non‑refundable under any circumstance. The shop owner is nervous about paying upfront.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,fee_non_refundable,anxious,semi_urban_india,Budget the full licence fee before applying to avoid cash‑flow issues.
27,"After losing a licence certificate, the owner must apply for a duplicate and pay 10 % of the original fee.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,duplicate_license,cautious,urban_india,Request a duplicate promptly and include the required 10 % fee payment.
28,A kirana shop that sells dairy products must submit half‑yearly returns (Form D‑2) for milk procurement and sales.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,half_yearly_return,neutral,rural_india,Mark calendar reminders for April‑September and October‑March return deadlines.
29,"A small apparel outlet mistakenly advertises “ghee‑free” snacks without a notice board, violating the requirement to display ghee usage.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,consumer_notice_ghee,stressed,urban_india,"Put up a visible board listing all items cooked in ghee, butter, or vanaspati."
30,The regulation mandates that any change to the licence‑certified activities must be approved before implementation. A shop wants to add a new snack item.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,activity_change_approval,cautious,semi_urban_india,Submit a change‑request form with details of the new snack and await approval.
31,A bakery must maintain a recall plan that identifies distributors and steps to retrieve a faulty batch. The owner has never prepared such a plan.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,recall_plan,anxious,urban_india,Draft a simple recall SOP and keep contact details of all distributors on file.
32,The regulation requires that all food handlers keep fingernails trimmed and clean. The shop’s assistant often has long nails.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,personal_hygiene_nails,neutral,semi_urban_india,Enforce a daily nail‑trimming policy and provide nail‑clippers at the workplace.
33,The owner discovers that smoking and chewing gum are prohibited inside the premises while handling food. He sees staff smoking behind the counter.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,no_smoking_inside,stressed,urban_india,Designate a smoking‑free zone and post a sign reminding staff of the rule.
34,The regulations require a designated “Food Safety Officer” to oversee inspections. A small shop has no such officer.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,appoint_food_safety_officer,anxious,semi_urban_india,Appoint an existing senior employee as interim Food Safety Officer and train them.
35,"A kirana shop must ensure that its drinking water source is potable and, if not, must obtain a chemical and bacteriological test report regularly.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,water_quality_testing,cautious,rural_india,Arrange quarterly water testing from a recognized lab and keep certificates.
36,The regulation specifies that all waste water must be treated or disposed of according to pollution‑control norms. The shop’s drainage leads directly to a nearby open drain.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,waste_water_disposal,stressed,semi_urban_india,Connect to the municipal sewage system or install a small effluent treatment unit.
37,"A small electronics retailer that occasionally sells packaged snacks must file separate returns for each license class, even though the same owner holds multiple licences.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,separate_returns,neutral,urban_india,Maintain distinct record books for each licence category and file individual returns.
38,"The shop owner learns that any licence renewal must be applied for at least 30 days before expiry, otherwise the licence lapses. He often forgets the date.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,renewal_application_timing,anxious,semi_urban_india,Set calendar alerts 45 days before expiry to prepare the renewal application.
