id,text,source,language_tag,concept,sentiment,shop_location,shop_category
1,"In a small business shop located in grocery store at tier-2 city (indore), the shopkeeper learns about the concept of Cloud POS. A Small Business Grocery Store in Tier-2 City (Indore) had issues with inventory shrinkage and pilferage, causing unexplained losses in the annual audit. Moving all billing and stock data to a secure real-time web portal, the business integrated Cloud POS (Web-based billing and inventory management system.). Registration under the Udyam portal allowed the business to access collateral-free loans via CGTMSE. Dead stock was reduced by 60%, freeing up vital cash flow for the next quarter. While running daily operations, the shopkeeper notices problems related to capital lock-up. By applying Cloud POS correctly, daily decisions around stock, sales, and cash become clearer. Over time, the shopkeeper sees measurable improvement in capital lock-up and overall control of the business.",web_online,en,Cloud POS,Neutral,Grocery Store at Tier-2 City (Indore),Cloud POS
2,"In a micro (udyam registered) shop located in grocery store at rural village (punjab), the shopkeeper learns about the concept of FIFO. A Micro (Udyam registered) Grocery Store in Rural Village (Punjab) faced legal notices for non-compliance with the Legal Metrology Act regarding price labeling. Ensuring that the oldest stock was always placed at the front of the shelf, the business integrated FIFO (First-In First-Out inventory valuation method.). The owner utilized the PMEGP scheme to subsidize the cost of the new digital infrastructure. Customer retention rates increased as the shopping experience became more seamless. While running daily operations, the shopkeeper notices problems related to capital lock-up. By applying FIFO correctly, daily decisions around stock, sales, and cash become clearer. Over time, the shopkeeper sees measurable improvement in capital lock-up and overall control of the business.",web_online,en,FIFO,Neutral,Grocery Store at Rural Village (Punjab),FIFO
3,"In a medium enterprise shop located in pharmacy at rural village (punjab), the shopkeeper learns about the concept of Consignment Inventory. A Medium Enterprise Pharmacy in Rural Village (Punjab) had a high amount of capital locked in slow-moving items, preventing the purchase of seasonal stock. Negotiating with suppliers to pay only for items sold, the business integrated Consignment Inventory (Stock not owned by retailer until sold; minimizes capital lock-up.). By joining the ONDC network, the store's inventory became visible on multiple national buyer apps. The store saw a significant reduction in capital lock-up, allowing for business expansion. While running daily operations, the shopkeeper notices problems related to capital lock-up. By applying Consignment Inventory correctly, daily decisions around stock, sales, and cash become clearer. Over time, the shopkeeper sees measurable improvement in capital lock-up and overall control of the business.",web_online,en,Consignment Inventory,Neutral,Pharmacy at Rural Village (Punjab),Consignment Inventory
4,"In a small business shop located in grocery store at mumbai, the shopkeeper learns about the concept of Cloud POS. A Small Business Grocery Store in Mumbai struggled with manual bookkeeping that led to frequent stockouts of high-demand items. Moving all billing and stock data to a secure real-time web portal, the business integrated Cloud POS (Web-based billing and inventory management system.). Compliance with the Shops and Establishments Act helped in extending operating hours during festive seasons. Operational costs were slashed by 10% through better supply chain visibility. While running daily operations, the shopkeeper notices problems related to capital lock-up. By applying Cloud POS correctly, daily decisions around stock, sales, and cash become clearer. Over time, the shopkeeper sees measurable improvement in capital lock-up and overall control of the business.",web_online,en,Cloud POS,Neutral,Grocery Store at Mumbai,Cloud POS
5,"In a micro (udyam registered) shop located in apparel boutique at shopping mall (bangalore), the shopkeeper learns about the concept of E-tailing. A Micro (Udyam registered) Apparel Boutique in Shopping Mall (Bangalore) had a high amount of capital locked in slow-moving items, preventing the purchase of seasonal stock. Expanding the business reach to a pan-India customer base via a web portal, the business integrated E-tailing (Selling products directly on the internet.). By joining the ONDC network, the store's inventory became visible on multiple national buyer apps. Dead stock was reduced by 60%, freeing up vital cash flow for the next quarter. While running daily operations, the shopkeeper notices problems related to capital lock-up. By applying E-tailing correctly, daily decisions around stock, sales, and cash become clearer. Over time, the shopkeeper sees measurable improvement in capital lock-up and overall control of the business.",web_online,en,E-tailing,Neutral,Apparel Boutique at Shopping Mall (Bangalore),E-tailing
6,"In a medium enterprise shop located in grocery store at high street (delhi), the shopkeeper learns about the concept of Distribution Center. A Medium Enterprise Grocery Store in High Street (Delhi) had a high amount of capital locked in slow-moving items, preventing the purchase of seasonal stock. Centralizing procurement through a specialized warehouse facility, the business integrated Distribution Center (Warehouse specialized in efficient logistics and shipping.). Following Legal Metrology guidelines for MRP and net weight prevented potential fines from inspectors. Dead stock was reduced by 60%, freeing up vital cash flow for the next quarter. While running daily operations, the shopkeeper notices problems related to capital lock-up. By applying Distribution Center correctly, daily decisions around stock, sales, and cash become clearer. Over time, the shopkeeper sees measurable improvement in capital lock-up and overall control of the business.",web_online,en,Distribution Center,Neutral,Grocery Store at High Street (Delhi),Distribution Center
7,"In a micro (udyam registered) shop located in pharmacy at mumbai, the shopkeeper learns about the concept of Point of Sale (POS). A Micro (Udyam registered) Pharmacy in Mumbai had a high amount of capital locked in slow-moving items, preventing the purchase of seasonal stock. Replacing the manual cash drawer with an integrated digital system, the business integrated Point of Sale (POS) (Central hub for transactions and inventory data.). Registration under the Udyam portal allowed the business to access collateral-free loans via CGTMSE. This resulted in a 25% improvement in working capital availability. While running daily operations, the shopkeeper notices problems related to capital lock-up. By applying Point of Sale (POS) correctly, daily decisions around stock, sales, and cash become clearer. Over time, the shopkeeper sees measurable improvement in capital lock-up and overall control of the business.",web_online,en,Point of Sale (POS),Neutral,Pharmacy at Mumbai,Point of Sale (POS)
8,"In a small business shop located in pharmacy at tier-2 city (indore), the shopkeeper learns about the concept of Contactless Payments. A Small Business Pharmacy in Tier-2 City (Indore) was struggling to compete with large e-commerce giants and losing local footfall. Offering UPI and Tap-to-Pay options to speed up the checkout queue, the business integrated Contactless Payments (Digital payment methods without physical contact.). Registration under the Udyam portal allowed the business to access collateral-free loans via CGTMSE. Customer retention rates increased as the shopping experience became more seamless. While running daily operations, the shopkeeper notices problems related to sales growth. By applying Contactless Payments correctly, daily decisions around stock, sales, and cash become clearer. Over time, the shopkeeper sees measurable improvement in sales growth and overall control of the business.",web_online,en,Contactless Payments,Neutral,Pharmacy at Tier-2 City (Indore),Contactless Payments
9,"In a micro (udyam registered) shop located in pharmacy at rural village (punjab), the shopkeeper learns about the concept of Personalization. A Micro (Udyam registered) Pharmacy in Rural Village (Punjab) faced legal notices for non-compliance with the Legal Metrology Act regarding price labeling. Using customer purchase history to send targeted discount codes, the business integrated Personalization (Tailoring marketing and products to specific customer needs.). Following Legal Metrology guidelines for MRP and net weight prevented potential fines from inspectors. Dead stock was reduced by 60%, freeing up vital cash flow for the next quarter. While running daily operations, the shopkeeper notices problems related to sales growth. By applying Personalization correctly, daily decisions around stock, sales, and cash become clearer. Over time, the shopkeeper sees measurable improvement in sales growth and overall control of the business.",web_online,en,Personalization,Neutral,Pharmacy at Rural Village (Punjab),Personalization
10,"In a small business shop located in apparel boutique at shopping mall (bangalore), the shopkeeper learns about the concept of Anchor Store. A Small Business Apparel Boutique in Shopping Mall (Bangalore) found it difficult to manage perishables, leading to high waste and lost margins. Leveraging the proximity to a nearby mall's major retail hub, the business integrated Anchor Store (Large well-known brand driving foot traffic to smaller stores.). By joining the ONDC network, the store's inventory became visible on multiple national buyer apps. The store saw a significant reduction in capital lock-up, allowing for business expansion. While running daily operations, the shopkeeper notices problems related to capital lock-up. By applying Anchor Store correctly, daily decisions around stock, sales, and cash become clearer. Over time, the shopkeeper sees measurable improvement in capital lock-up and overall control of the business.",web_online,en,Anchor Store,Neutral,Apparel Boutique at Shopping Mall (Bangalore),Anchor Store
