id,text,source,language_tag,concept,sentiment,shop_location,shop_category
1,"As the business grows, the shopkeeper comes across the concept of A-commerce. A-commerce is the buying and selling of products using Augmented Reality to visualize products virtually in the real-world environment before purchasing. It’s a technology that helps in adding potential realism by allowing online shoppers to get a familiarity with products that were only flat images before. This new way of shopping helps consumers with their buying decisions while positively impacting sales and product returns for retailers. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands A-commerce, decisions become clearer. Using A-commerce correctly helps the shop run more smoothly.",web_online,en,A-commerce,Neutral,India_General,Retail
2,"While handling customers and stock, the retailer understands Audit. The formal process of checking adherence or deviation from the prescribed standard operating procedures (SOPs) or financial plan or book inventory. The checkers called auditors can be either the internal or third party personnel. The audits GAPS are reported and corrective actions are taken. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Audit, decisions become clearer. Using Audit correctly helps the shop run more smoothly.",web_online,en,Audit,Neutral,India_General,Retail
3,"While handling customers and stock, the retailer understands Average Inventory. Average Inventory value is calculated by dividing sum of the month’s beginning inventory and the ending inventory by 2. If calculating for a season of 6 months, divide by 7 – beginning inventory value of all six months and ending inventory value of sixth month. If calculating for a year, divide by 13 - beginning inventory value of all twelve months and ending inventory value of twelfth month. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Average Inventory, decisions become clearer. Using Average Inventory correctly helps the shop run more smoothly.",web_online,en,Average Inventory,Neutral,India_General,Retail
4,"While solving practical shop problems, the shopkeeper studies Bar Code. A machine readable code made up of alternating dark and light bars. The spacing between these bars signals the reader what the numerical code is. Bar codes can be Universal Product Code (UPC) or any number of other formats and almost limitless in length - the longest being 128. Bar codes help retailers track inventory going in and out of the store. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Bar Code, decisions become clearer. Using Bar Code correctly helps the shop run more smoothly.",web_online,en,Bar Code,Neutral,India_General,Retail
5,"As the business grows, the shopkeeper comes across the concept of Beacons. Powered by Bluetooth Low Energy (BLE) technology, Beacons are devices that can transmit messages to other Bluetooth-enabled gizmos, such as smart phones, tablets, and smart watches. Beacons have the capabilities to “recognise” devices based on their location or previous interactions enabling retailers to send tailored notifications to shoppers depending on where they are in the store or what type of customers they are. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Beacons, decisions become clearer. Using Beacons correctly helps the shop run more smoothly.",web_online,en,Beacons,Neutral,India_General,Retail
6,"While solving practical shop problems, the shopkeeper studies Big Data. A massive data set that is so large that it needs a sophisticated program or a data scientist to make sense of it. In retail, big data is used to analyse customer behaviours, demographics, social information, and more. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Big Data, decisions become clearer. Using Big Data correctly helps the shop run more smoothly.",web_online,en,Big Data,Neutral,India_General,Retail
7,"While managing daily shop work, a retailer encounters the idea of Brick & Click. The term is used for retailers that integrate their e-commerce site and their traditional brick-and-mortar stores. When the two are integrated, it allows them to provide seamless web-to-store services, like buy online & pick up in store or buy online return in store. It ensures enhanced product/service visibility and reach to larger number of customers. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Brick & Click, decisions become clearer. Using Brick & Click correctly helps the shop run more smoothly.",web_online,en,Brick & Click,Neutral,India_General,Retail
8,"While solving practical shop problems, the shopkeeper studies Carrying Cost. The cost involved in maintaining or holding inventory including all costs associated with the inventory investment and storage. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Carrying Cost, decisions become clearer. Using Carrying Cost correctly helps the shop run more smoothly.",web_online,en,Carrying Cost,Neutral,India_General,Retail
9,"As part of running the store smoothly, the concept of Cashwrap. The main checkout area of a retail store, where retailers set up their Point of Sale for customers to pay for purchased items. Sometimes cashwraps have shelves or additional section with items that shoppers can pick up on their way out or gift wrapping or for inviting participation in a store loyalty program. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Cashwrap, decisions become clearer. Using Cashwrap correctly helps the shop run more smoothly.",web_online,en,Cashwrap,Neutral,India_General,Retail
10,"During routine store operations, the shopkeeper learns about Consignment Merchandise. The inventory that a retailer does not own or pay for until it’s sold. Under the arrangement, goods are left by an owner (consignor) in the possession of an agent (consignee) to sell them. The consignor continues to own the merchandise until it’s sold by the consignee for a percentage of the sale as commission. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Consignment Merchandise, decisions become clearer. Using Consignment Merchandise correctly helps the shop run more smoothly.",web_online,en,Consignment Merchandise,Neutral,India_General,Retail
11,"While managing daily shop work, a retailer encounters the idea of Cost Of Goods Sold (COGS). The accounting term is used to describe the total cost value of products sold. This appears on the profit-and-loss statement and is used for calculating inventory turnover. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Cost Of Goods Sold (COGS), decisions become clearer. Using Cost Of Goods Sold (COGS) correctly helps the shop run more smoothly.",web_online,en,Cost Of Goods Sold (COGS),Neutral,India_General,Retail
12,"As part of running the store smoothly, the concept of Cross Merchandising. This refers to the retail practice of displaying or putting together products from different categories to drive add-on sales. For e.g. people often take lemons with their tequila shots, so placing both items together on display will drive their sales. Also called Coordinated Products Grouping (CPG). This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Cross Merchandising, decisions become clearer. Using Cross Merchandising correctly helps the shop run more smoothly.",web_online,en,Cross Merchandising,Neutral,India_General,Retail
13,"While handling customers and stock, the retailer understands Dead stock. Stock remaining unsold for relatively long time, also known as Dog or Obsolete inventory. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Dead stock, decisions become clearer. Using Dead stock correctly helps the shop run more smoothly.",web_online,en,Dead stock,Neutral,India_General,Retail
14,"During routine store operations, the shopkeeper learns about Distribution Center (DC). A distribution center is a warehouse or specialized building that stores a set of products to be distributed to retailers (or directly to consumers). This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Distribution Center (DC), decisions become clearer. Using Distribution Center (DC) correctly helps the shop run more smoothly.",web_online,en,Distribution Center (DC),Neutral,India_General,Retail
15,"In the middle of everyday retail decisions, the term Drop Shipping. An arrangement between a retailer and a manufacturer in which the retailer transfers customer orders to the manufacturer who keeps the inventory. The manufacturer then ships the products directly to the consumer. Also known as Direct shipping. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Drop Shipping, decisions become clearer. Using Drop Shipping correctly helps the shop run more smoothly.",web_online,en,Drop Shipping,Neutral,India_General,Retail
16,"As part of running the store smoothly, the concept of Dry Storage. In retail warehousing dry storage is typically used to describe non-refrigerated storage of food products, such as canned and dry goods. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Dry Storage, decisions become clearer. Using Dry Storage correctly helps the shop run more smoothly.",web_online,en,Dry Storage,Neutral,India_General,Retail
17,"When improving shop operations, the retailer encounters Electronic Point-of-sale (EPOS). A POS system that records sales and inventory movement electronically. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Electronic Point-of-sale (EPOS), decisions become clearer. Using Electronic Point-of-sale (EPOS) correctly helps the shop run more smoothly.",web_online,en,Electronic Point-of-sale (EPOS),Neutral,India_General,Retail
18,"While managing daily shop work, a retailer encounters the idea of Endless Aisle. A brick-and-mortar store that enables customers to browse and shop a retailer’s entire catalog through a touch screen or tablet thus helping him to avoid stocking up every item. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Endless Aisle, decisions become clearer. Using Endless Aisle correctly helps the shop run more smoothly.",web_online,en,Endless Aisle,Neutral,India_General,Retail
19,"As part of running the store smoothly, the concept of Enterprise Resource Planning (ERP). ERP is the integrated management of core business processes, often in real-time, facilitated by software. These business activities can include; purchasing, inventory management, marketing, customer service, shipping, payment, finance etc. This software is essentially found with large, enterprise-sized retailers. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Enterprise Resource Planning (ERP), decisions become clearer. Using Enterprise Resource Planning (ERP) correctly helps the shop run more smoothly.",web_online,en,Enterprise Resource Planning (ERP),Neutral,India_General,Retail
20,"While managing daily shop work, a retailer encounters the idea of E-tailing. Electronic retailing is the sale of goods and services through the internet. E-tailing can include business-to-business (B2B) and business-to-consumer (B2C) sales of products and services. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands E-tailing, decisions become clearer. Using E-tailing correctly helps the shop run more smoothly.",web_online,en,E-tailing,Neutral,India_General,Retail
21,"As the business grows, the shopkeeper comes across the concept of Facing. The count of customer-facing display of identical products or same SKUs on shelves or wall space. Facings are used in plan-o-grams and when zoning a retail store This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Facing, decisions become clearer. Using Facing correctly helps the shop run more smoothly.",web_online,en,Facing,Neutral,India_General,Retail
22,"While solving practical shop problems, the shopkeeper studies Footfall. The number of people entering the business premises or retail store or shopping mall. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Footfall, decisions become clearer. Using Footfall correctly helps the shop run more smoothly.",web_online,en,Footfall,Neutral,India_General,Retail
23,"While handling customers and stock, the retailer understands Franchise. A business arrangement wherein products and services are distributed and retailed via a licensing relationship. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Franchise, decisions become clearer. Using Franchise correctly helps the shop run more smoothly.",web_online,en,Franchise,Neutral,India_General,Retail
24,"While handling customers and stock, the retailer understands Green Retailing. This refers to the environmentally friendly business practices that retailers commit to. This can range from giving customers reusable shopping bags and avoiding use of plastic to adding solar panels to supply electricity to their stores. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Green Retailing, decisions become clearer. Using Green Retailing correctly helps the shop run more smoothly.",web_online,en,Green Retailing,Neutral,India_General,Retail
25,"While solving practical shop problems, the shopkeeper studies Gross Margin Return On Investment (GMROII). Gross Margin Return On Inventory Investment is calculated by dividing gross profit value for the year by average inventory at cost. The result is always answers the question - “For every rupee invested in inventory, how many rupees were returned?” This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Gross Margin Return On Investment (GMROII), decisions become clearer. Using Gross Margin Return On Investment (GMROII) correctly helps the shop run more smoothly.",web_online,en,Gross Margin Return On Investment (GMROII),Neutral,India_General,Retail
26,"During routine store operations, the shopkeeper learns about Gross Margin Return On Floor (GMROF). Gross Margin value or %age earned on per square foot of retail space. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Gross Margin Return On Floor (GMROF), decisions become clearer. Using Gross Margin Return On Floor (GMROF) correctly helps the shop run more smoothly.",web_online,en,Gross Margin Return On Floor (GMROF),Neutral,India_General,Retail
27,"When improving shop operations, the retailer encounters Hardlines & Softlines. Also known as hard goods and soft goods respectively. Hardlines and softlines are two major kinds of retail inventory. Soft goods are items that are literally soft, such as clothing. Hard goods are non-personal items such as electronics, appliances, and sporting equipment. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Hardlines & Softlines, decisions become clearer. Using Hardlines & Softlines correctly helps the shop run more smoothly.",web_online,en,Hardlines & Softlines,Neutral,India_General,Retail
28,"As the business grows, the shopkeeper comes across the concept of High-speed Retail. High-speed retail is all about optimizing the customer’s shopping experience and ensuring that it goes as quickly and smoothly as possible. Popular examples of high-speed retail are drive-through grocery stores, pop-up stores, mobile businesses such as food trucks, or any business that utilizes an urgent promotion or limited-time sales. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands High-speed Retail, decisions become clearer. Using High-speed Retail correctly helps the shop run more smoothly.",web_online,en,High-speed Retail,Neutral,India_General,Retail
29,"As the business grows, the shopkeeper comes across the concept of Integrated supply chain. This is a network of businesses and contractors that work and coordinate closely together to manufacture, transport, distribute and sell retail goods through shared information and common systems. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Integrated supply chain, decisions become clearer. Using Integrated supply chain correctly helps the shop run more smoothly.",web_online,en,Integrated supply chain,Neutral,India_General,Retail
30,"During routine store operations, the shopkeeper learns about Inventory management. Practice of managing and tracking inventory at all points of retail value chain to achieve the goal of right product at the right place and in right quantity. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Inventory management, decisions become clearer. Using Inventory management correctly helps the shop run more smoothly.",web_online,en,Inventory management,Neutral,India_General,Retail
31,"In the middle of everyday retail decisions, the term Inventory Turnover. It is the number of times average inventory is sold during a given period. Though high turnover is desired, the turnover number varies from merchandise to merchandise. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Inventory Turnover, decisions become clearer. Using Inventory Turnover correctly helps the shop run more smoothly.",web_online,en,Inventory Turnover,Neutral,India_General,Retail
32,"As the business grows, the shopkeeper comes across the concept of Keystone pricing. This is a method of selling merchandise for double its wholesale price. It’s an easy way for retailers to cover costs and make a reasonable profit. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Keystone pricing, decisions become clearer. Using Keystone pricing correctly helps the shop run more smoothly.",web_online,en,Keystone pricing,Neutral,India_General,Retail
33,"In the middle of everyday retail decisions, the term Layaway. Also called Lay-by, this ervice allows the customer to put an item on hold with a retailer until the item is paid for in full. Payment can be made in installments. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Layaway, decisions become clearer. Using Layaway correctly helps the shop run more smoothly.",web_online,en,Layaway,Neutral,India_General,Retail
34,"As part of running the store smoothly, the concept of Loss Leader. Merchandise sold below cost by a retailer in an effort to attract new customers or stimulate other profitable sales. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Loss Leader, decisions become clearer. Using Loss Leader correctly helps the shop run more smoothly.",web_online,en,Loss Leader,Neutral,India_General,Retail
35,"In the middle of everyday retail decisions, the term Markdown. Markdowns are the discounts that retailers make on merchandise from the original marked price. Unlike sales or promotional events, a markdown price is changed to a lower price permanently. Goods that aren’t selling very well are usually marked down. This idea becomes relevant during everyday retail activities. Once the shopkeeper understands Markdown, decisions become clearer. Using Markdown correctly helps the shop run more smoothly.",web_online,en,Markdown,Neutral,India_General,Retail
